"y2_hhid","sex","age","hh_size","own_sh","rent_sh"
"0101014002017101","male",70,5,36000,NA
"0101014002028401","male",38,4,12000,NA
"0101014002029701","male",52,10,32000,120000
"0101014002029704","male",NA,8,NA,NA
"0101014002040901","male",32,6,18000,2500
"0101014002047101","female",52,5,6000,NA
"0101014002055101","male",32,5,8000,0
"0101014002076101","male",69,1,3000,NA
"0101014002076201","male",57,5,48000,NA
"0102003003000401","male",42,2,12000,NA
"0102003003002201","male",48,11,108000,NA
"0102003003014001","male",66,1,2000,NA
"0102003003016101","male",71,2,6000,NA
"0102003003017401","male",37,7,16982000,NA
"0102003003017407","male",21,1,NA,NA
"0102003003020001","male",33,6,2104000,NA
"0102003003043001","male",33,8,32000,NA
"0102003003047901","male",31,5,48000,NA
"0102017003000101","male",51,9,62500,NA
"0102017003000104","male",27,3,24000,NA
"0102017003001701","female",50,4,18000,NA
"0102017003002201","female",38,7,24000,NA
"0102017003004801","male",36,10,1140000,40000
"0102017003010001","male",45,5,16000,160000
"0102017003020901","male",27,1,NA,NA
"0102017003024101","male",31,7,48000,NA
"0102017003024601","male",37,4,48000,NA
"0103013004016101","male",52,7,18000,NA
"0103013004021901","female",45,6,27000,NA
"0103013004025901","male",42,4,40000,NA
"0103013004034601","female",34,5,24000,NA
"0103013004046801","female",43,5,24000,10000
"0103013004068501","male",69,2,14000,0
"0103013004073901","male",44,9,13500,7000
"0103013004074501","male",29,4,30000,NA
"0103013301006801","male",55,10,75000,NA
"0103013301009201","female",67,3,6000,NA
"0103013301017501","male",80,4,14000,NA
"0103013301018801","male",62,7,1804000,NA
"0103013301018803","female",27,2,2500,NA
"0103013301030001","female",88,7,36000,NA
"0103013301032201","male",42,5,13500,NA
"0103013301041101","female",31,5,NA,NA
"0103013301041102","male",38,4,1000,147000
"0103013301065201","male",77,2,14000,0
"0104017304000401","male",59,3,46000,30000
"0104017304001701","male",65,5,57500,NA
"0104017304002201","female",51,6,18000,NA
"0104017304003401","male",40,6,412000,NA
"0104017304003406","male",25,1,NA,NA
"0104017304003407","female",53,4,27000,NA
"0104017304004102","male",23,3,30000,NA
"0104017304008601","male",79,2,10000,NA
"0104017304009201","male",38,6,12000,6000
"0104017304009401","female",65,3,40000,NA
"0104017304009402","male",43,13,149000,NA
"0104031001003001","female",70,4,3000,NA
"0104031001010201","male",66,5,13500,NA
"0104031001017402","female",80,8,1378000,NA
"0104031001017403","female",45,3,NA,NA
"0104031001018001","male",33,4,16000,NA
"0104031001046201","male",32,1,NA,NA
"0104031001048201","male",29,3,NA,NA
"0104031001074501","female",62,2,2000,NA
"0104031001074502","female",99,3,1500,NA
"0104031001112801","male",78,3,18000,NA
"0104031001112804","male",29,2,6000,NA
"0104038003034701","female",35,4,32000,NA
"0104038003039601","male",67,4,8000,NA
"0104038003046001","male",38,6,22594000,NA
"0104038003069301","male",41,6,12000,NA
"0104038003076801","male",56,5,100000,NA
"0104038003076803","female",90,2,10000,NA
"0104038003085401","male",49,6,27000,0
"0104038003105701","male",52,5,10000,50000
"0104038003110801","female",42,5,45000,NA
"0105009003011401","female",48,11,75000,56000
"0105009003034701","male",33,6,12000,NA
"0105009003039601","female",30,5,9000,NA
"0105009003046001","male",29,5,22500,NA
"0105009003059901","male",70,11,24000,NA
"0105009003069301","male",56,4,24000,NA
"0105009003076801","male",32,5,36000,NA
"0105009003105701","male",79,2,12000,NA
"0105010004015101","male",61,4,6000,NA
"0105010004015105","male",25,3,4000,NA
"0105010004016601","male",46,6,30000,NA
"0105010004027201","male",26,4,13000,NA
"0105010004033501","female",67,5,15000,NA
"0105010004040301","female",61,5,48000,NA
"0105010004048001","female",33,1,1000,NA
"0105010004051701","male",32,1,4000,NA
"0105010004069201","male",42,6,27000,NA
"0105029002016101","male",79,4,8000,NA
"0105029002022401","male",30,9,18000,NA
"0105029002032201","male",57,1,28000,NA
"0105029002055701","male",32,5,14000,0
"0105029002064901","male",37,2,6000,NA
"0105029002069001","male",55,8,24693000,NA
"0105029002069101","male",24,3,112000,0
"0105029002123801","male",36,6,14000,NA
"0201010001014801","male",42,4,976000,NA
"0201010001026301","female",59,4,NA,NA
"0201010001029701","male",57,7,3500,NA
"0201010001033601","female",64,5,14000,40000
"0201010001051101","male",27,4,NA,NA
"0201010001055801","male",33,5,105000,NA
"0201010001065601","male",62,8,3357000,NA
"0201010001078501","male",44,8,1830000,NA
"0201011001004801","male",54,8,6530000,NA
"0201011001020601","male",39,7,53000,0
"0201011001020901","male",74,6,4000,0
"0201011001024601","male",67,7,18000,0
"0201011001024604","male",31,3,NA,NA
"0201011001025901","female",44,3,NA,NA
"0201011001030001","male",40,7,36000,0
"0201011001030401","female",69,4,3000,NA
"0201011001030402","male",27,4,NA,NA
"0201011001030409","male",31,5,NA,NA
"0201011001030501","male",64,7,4000,NA
"0202011303000601","male",34,1,NA,NA
"0202011303000602","female",33,5,4500,NA
"0202011303005501","male",39,6,30000,NA
"0202011303008601","male",35,4,20000,620000
"0202011303009001","male",33,5,NA,NA
"0202011303011601","male",36,3,9000,NA
"0202011303015501","male",48,5,4000,NA
"0202011303015801","female",41,10,4000,NA
"0202011303019301","male",68,4,4700,NA
"0202011303019305","female",26,1,NA,NA
"0202012001005901","male",41,4,264000,NA
"0202012001018501","male",47,5,99000,200000
"0202012001021401","male",59,8,54000,NA
"0202012001021601","male",56,6,66000,NA
"0202012001021701","male",27,3,4000,NA
"0202012001022301","male",36,6,6000,NA
"0202012001049801","male",50,6,431000,NA
"0202012001058601","male",42,6,2490000,NA
"0202024305008801","male",50,4,NA,NA
"0202024305014801","male",32,6,NA,NA
"0202024305017601","male",46,7,28000,NA
"0202024305017608","male",32,4,NA,NA
"0202024305017609","male",19,1,NA,NA
"0202024305021701","male",41,6,NA,NA
"0202024305028301","male",41,6,59000,0
"0202024305029701","female",52,4,3000,NA
"0202024305031701","female",33,5,16000,NA
"0202024305033601","male",71,1,17000,NA
"0203009002004401","male",41,6,200000,30000
"0203009002011501","male",50,7,53000,0
"0203009002019301","female",31,4,1000,0
"0203009002031701","male",28,2,64000,NA
"0203009002048301","male",54,4,27000,0
"0203009002062801","male",30,4,56000,50000
"0203009002068501","male",49,5,9720000,NA
"0203009002115601","female",36,7,2000,0
"0203010357000301","female",38,6,NA,NA
"0203010357000401","male",34,3,NA,NA
"0203010357003801","male",34,6,374000,0
"0203010357003901","male",31,6,NA,NA
"0203010357006001","male",62,7,2000,NA
"0203010357007801","female",46,5,NA,NA
"0203010357008301","male",40,3,NA,NA
"0203010357012401","male",40,5,NA,NA
"0203013019000101","male",70,9,10000,NA
"0203013019000801","male",46,6,NA,NA
"0203013019004401","male",35,5,NA,NA
"0203013019006801","male",29,4,NA,NA
"0203013019010101","female",41,6,NA,NA
"0203013019015301","male",49,7,13500,NA
"0203013019015501","male",25,3,NA,NA
"0203013019022901","male",48,5,NA,NA
"0203014016000601","male",27,2,NA,NA
"0203014016005001","male",38,1,NA,NA
"0203014016005002","female",25,3,NA,NA
"0203014016005401","male",58,8,3500,NA
"0203014016005501","male",36,4,NA,NA
"0203014016008601","female",34,3,NA,NA
"0203014016009001","female",30,1,NA,NA
"0203014016009101","female",35,3,NA,NA
"0203014016011401","female",31,5,NA,NA
"0204001001003601","female",46,2,18000,NA
"0204001001022501","male",46,1,NA,NA
"0204001001029601","female",36,6,48000,115000
"0204001001029605","female",43,3,22500,40000
"0204001001030101","female",36,1,5000,NA
"0204001001032701","male",49,11,56000,NA
"0204001001058501","male",40,12,7335000,NA
"0204001001072901","male",47,9,116000,NA
"0204001002017801","male",52,10,245000,0
"0204001002027901","male",32,7,27000,84000
"0204001002031201","female",84,3,3500,NA
"0204001002041601","male",34,6,67000,0
"0204001002044801","male",28,4,12000,8500
"0204001002055401","male",67,11,18000,NA
"0204001002079201","male",34,2,45000,NA
"0204001002080001","female",86,5,36000,120000
"0205002007002801","male",37,6,5000,NA
"0205002007004201","female",30,5,5000,NA
"0205002007004401","female",47,6,3500,0
"0205002007011501","male",42,7,36000,70000
"0205002007012401","male",49,10,357000,NA
"0205002007017501","male",60,5,180000,NA
"0205002007017503","male",34,5,220000,NA
"0205002007035501","female",49,6,NA,NA
"0205010001008001","female",68,5,5000,0
"0205010001008301","male",49,2,5000,NA
"0205010001011101","female",35,4,27000,NA
"0205010001012601","female",48,7,9000,NA
"0205010001016201","female",42,6,8800,NA
"0205010001026101","female",33,4,8000,NA
"0205010001029301","female",44,5,12000,NA
"0205010001030701","male",44,8,59000,NA
"0205010001030704","male",29,2,75000,NA
"0301006003002801","male",39,7,108000,NA
"0301006003004401","female",51,4,3000,NA
"0301006003011201","male",68,7,41000,NA
"0301006003011501","male",58,5,64000,NA
"0301006003017501","male",81,9,24000,NA
"0301006003019301","male",65,8,3588400,NA
"0301006003031701","male",65,3,36000,NA
"0301006003041901","male",44,7,12000,NA
"0301012002009701","male",66,3,92000,NA
"0301012002022501","male",50,5,36000,0
"0301012002036801","male",48,8,20000,NA
"0301012002040401","female",51,6,75000,NA
"0301012002040403","male",26,2,NA,NA
"0301012002067601","female",73,6,13500,NA
"0301012002070901","female",55,2,12000,NA
"0301012002079401","female",70,3,12000,NA
"0301012002087001","male",37,4,252000,NA
"0301014002014801","male",57,6,70000,NA
"0301014002026301","male",78,1,20000,NA
"0301014002029701","male",45,8,114000,NA
"0301014002033601","female",60,4,16000,NA
"0301014002051101","male",80,6,14000,NA
"0301014002055801","male",45,8,612000,NA
"0301014002065602","female",43,4,95000,NA
"0301014002078501","male",69,3,380000,NA
"0302004003002801","male",77,2,16000,NA
"0302004003014601","male",51,5,18000,NA
"0302004003031501","male",56,4,50000,NA
"0302004003032401","male",52,5,8000,NA
"0302004003033301","male",79,3,32000,NA
"0302004003035601","male",105,6,27000,NA
"0302004003035602","male",72,5,8000,NA
"0302004003037801","female",73,2,48000,NA
"0302004003039301","male",56,2,314000,NA
"0302004003039303","male",32,6,NA,NA
"0302007301000801","male",31,3,36000,0
"0302007301001901","female",53,4,56000,NA
"0302007301001902","male",22,3,NA,NA
"0302007301003401","male",53,10,50000,360000
"0302007301004201","male",79,3,6000,40000
"0302007301006401","male",68,4,27000,NA
"0302007301007601","female",57,4,22500,NA
"0302007301008002","female",70,4,84000,NA
"0302007301008601","male",46,5,30000,NA
"0303014001001801","female",39,4,3000,2000
"0303014001004601","female",69,6,6000,NA
"0303014001018701","female",50,7,22500,40000
"0303014001024001","male",48,6,24000,NA
"0303014001027801","male",34,4,16000,NA
"0303014001031601","male",43,9,87000,NA
"0303014001031901","female",60,2,20000,NA
"0303014001031902","male",25,3,NA,NA
"0303014001035901","male",35,5,NA,3000
"0303023303001401","male",46,5,12000,NA
"0303023303002201","female",43,6,76000,NA
"0303023303003801","male",59,13,222000,NA
"0303023303003806","male",24,1,NA,NA
"0303023303003807","male",33,2,NA,NA
"0303023303004801","female",47,4,12000,NA
"0303023303005201","female",37,5,12000,NA
"0303023303005501","male",57,7,35000,0
"0303023303006401","male",56,5,71000,NA
"0304002001004401","male",58,4,302500,NA
"0304002001011501","male",62,2,10000,NA
"0304002001017501","female",42,5,NA,0
"0304002001019301","female",52,6,98000,NA
"0304002001019306","male",21,1,NA,NA
"0304002001041901","male",30,4,90000,NA
"0304002001048301","female",51,3,NA,0
"0304002001048304","male",25,4,NA,NA
"0304002001062801","male",61,5,257500,NA
"0304002001093601","male",50,4,18000,NA
"0304014003008101","male",34,4,NA,NA
"0304014003008102","female",48,4,48000,NA
"0304014003008901","female",80,6,14000,NA
"0304014003029701","female",69,2,31500,NA
"0304014003032001","male",33,4,30000,NA
"0304014003032601","female",70,3,100000,85000
"0304014003049501","male",51,2,96000,10000
"0304014003058501","female",46,3,20000,NA
"0304014003065001","female",51,5,70000,NA
"0304031003002401","male",70,8,14000,35000
"0304031003002405","male",41,6,NA,NA
"0304031003011401","male",69,2,124000,NA
"0304031003011403","male",24,1,NA,NA
"0304031003011901","male",81,6,640800,45000
"0304031003015901","male",46,7,105000,0
"0304031003015907","male",71,7,100000,0
"0304031003017201","male",87,5,22000,NA
"0304031003021001","female",83,2,4000,NA
"0304031003024001","female",82,3,56000,NA
"0304031003027001","male",49,8,12000,NA
"0305004002006801","male",36,6,20000,0
"0305004002009202","female",49,4,250000,NA
"0305004002017501","male",65,7,175000,30000
"0305004002017502","female",84,5,63000,60000
"0305004002018801","male",65,2,NA,0
"0305004002030001","male",62,5,22500,NA
"0305004002032201","male",60,4,365000,65000
"0305004002041101","male",46,7,151000,NA
"0305004002065201","male",29,4,310000,50000
"0305010004010501","male",54,9,1082000,80000
"0305010004021901","male",34,10,230000,NA
"0305010004021905","male",24,1,NA,NA
"0305010004035101","male",64,7,736000,0
"0305010004047001","male",70,5,304000,0
"0305010004057401","female",54,6,NA,0
"0305010004057402","male",31,5,18000,NA
"0305010004068501","male",46,6,1408000,NA
"0305010004070801","male",58,13,182000,NA
"0305010004080301","male",35,3,82000,0
"0305013005002801","female",61,7,18000,NA
"0305013005004201","male",48,3,50000,51000
"0305013005004401","male",71,12,81000,480000
"0305013005004404","male",32,5,NA,NA
"0305013005004406","female",59,4,123000,115000
"0305013005010301","female",55,7,20000,30000
"0305013005011501","male",40,6,NA,NA
"0305013005011502","female",30,3,NA,NA
"0305013005011507","male",40,2,NA,NA
"0305013005012401","female",72,2,2500,NA
"0305013005017501","female",59,2,103500,130000
"0305013005017503","female",25,1,NA,NA
"0305013005023101","male",38,6,12110000,230000
"0401015002000601","male",62,12,75000,NA
"0401015002003001","male",68,5,56000,NA
"0401015002015801","male",65,7,27000,NA
"0401015002039901","male",31,5,76000,NA
"0401015002041201","male",50,9,12000,NA
"0401015002044001","female",73,8,108000,NA
"0401015002045401","male",45,10,72000,NA
