"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"1001003004001401","M1",14450,361.25,14450,40,40,100,1,FALSE,FALSE
"1001003004001401","M2",1245176.38236264,361.25,722500,2000,3446.85503768204,58.0239081172666,5,FALSE,FALSE
"1001003004002901","M1",144500,361.25,144500,400,400,100,1,FALSE,FALSE
"1001003004004201","M1",NA,361.25,NA,NA,NA,NA,2,FALSE,FALSE
"1001003004018101","M1",651889.398179663,361.25,173400,480,1804.53812644889,26.5996042402595,3,FALSE,FALSE
"1001003004018101","M3",14450,361.25,14450,40,40,100,1,FALSE,FALSE
"1001003004018102","M1",1192125,361.25,1192125,3300,3300,100,1,FALSE,FALSE
"1001003004020701","M1",158152.525252525,361.25,28900,80,437.792457446437,18.2734989238109,2,FALSE,FALSE
"1001003004029301","M1",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1001003004029301","M4",107494.076923077,361.25,36125,100,297.561458610593,33.6065028269894,2,FALSE,FALSE
"1001003004038101","M1",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1001003004038101","M2",81281.25,361.25,81281.25,225,225,100,1,FALSE,FALSE
"1001003004045501","M1",67766.62,361.25,54187.5,150,187.589259515571,79.9619340613417,2,FALSE,FALSE
"1001003004045501","M3",7225,361.25,7225,20,20,100,1,FALSE,FALSE
"1001003305002801","M2",866789.26,361.25,72250,200,2399.4166366782,8.33535939289326,2,FALSE,FALSE
"1001003305002801","M4",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1001003305004201","M2",7225,361.25,7225,20,20,100,1,FALSE,FALSE
"1001003305004401","M1",445062.021978021,361.25,57800,160,1232.00559717099,12.9869539852255,3,FALSE,FALSE
"1001003305005401","M1",5418.75,361.25,5418.75,15,15,100,1,FALSE,FALSE
"1001003305005901","M3",135689.179487179,361.25,72250,200,375.610185431638,53.2466923840648,2,FALSE,FALSE
"1001003306004201","M1",299279.575897435,361.25,72250,200,828.455573418507,24.1413065971333,3,FALSE,FALSE
"1001003306004401","M1",349796.41025641,361.25,72250,200,968.294561263418,20.6548717715653,2,FALSE,FALSE
"1001003306008901","M1",13005,361.25,13005,36,36,100,1,FALSE,FALSE
"1001003306010301","M1",NA,361.25,108375,300,NA,NA,2,FALSE,FALSE
"1001003306011201","M3",560871.250851711,361.25,90312.5,250,1552.58477744418,16.1021802887661,4,FALSE,FALSE
"1001003306012401","M1",18003.57,361.25,3612.5,10,49.8368719723183,20.065464793927,2,FALSE,FALSE
"1001003306012401","M2",NA,361.25,361250,1000,NA,NA,4,FALSE,FALSE
"1001003325001301","M2",202104.531538461,361.25,39015,108,559.458910833111,19.304366756653,3,FALSE,FALSE
"1001003325001301","M3",128640.523076923,361.25,14450,40,356.098333776949,11.2328523348427,2,FALSE,FALSE
"1001003325003201","M1",16397.8571428571,361.25,13005,36,45.391992090954,79.3091431807292,2,FALSE,FALSE
"1001003325003201","M2",27437.3974358974,361.25,19507.5,54,75.9512731789548,71.0982156583028,2,FALSE,FALSE
"1001003325004101","M1",63267.8571428571,361.25,36125,100,175.135936727632,57.0985040925769,2,FALSE,FALSE
"1001003325004901","M2",194485.7,361.25,50575,140,538.368719723183,26.0044825917792,2,FALSE,FALSE
"1001003325004902","M1",513991.799384817,361.25,325125,900,1422.81466957735,63.2549002511584,3,FALSE,FALSE
"1001003325005401","M1",69843.9393939394,361.25,14450,40,193.339624619901,20.6889819294097,2,FALSE,FALSE
"1001003325007701","M1",97540.9090909091,361.25,14450,40,270.009436929852,14.8142970315485,2,FALSE,FALSE
"1001019004000101","M2",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1001019004000101","M3",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1001019004003001","M3",104020.6,361.25,36125,100,287.946297577855,34.7286979694407,2,FALSE,FALSE
"1001019004003101","M2",144500,361.25,144500,400,400,100,1,FALSE,FALSE
"1001019004003101","M3",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1001019004004201","M3",444543.21,361.25,312120,864,1230.56943944637,70.2113974477307,2,FALSE,FALSE
"1001019004004601","M1",18062.5,361.25,18062.5,50,50,100,1,FALSE,FALSE
"1001019004004601","M3",163884.282051282,361.25,108375,300,453.658912252684,66.1289774977247,2,FALSE,FALSE
"1001019004005501","M2",57800,361.25,57800,160,160,100,1,FALSE,FALSE
"1001019004012401","M1",385606.864615384,361.25,136552.5,378,1067.42384668619,35.4123623126371,3,FALSE,FALSE
"1002007004001601","M1",28900,361.25,28900,80,80,100,1,FALSE,FALSE
"1002007004004501","M1",130050,361.25,130050,360,360,100,1,FALSE,FALSE
"1002007004004501","M3",230846.42,361.25,144500,400,639.02123183391,62.595729229849,2,FALSE,FALSE
"1002007004006301","M3",289669.815,361.25,91035,252,801.85415916955,31.4271613008763,3,FALSE,FALSE
"1002007004008801","M1",202300,361.25,202300,560,560,100,1,FALSE,FALSE
"1002007004011001","M1",86700,361.25,86700,240,240,100,1,FALSE,FALSE
"1002007004011002","M2",86700,361.25,86700,240,240,100,1,FALSE,FALSE
"1002007004013601","M1",622035.7,361.25,180625,500,1721.89813148789,29.0377224329729,2,FALSE,FALSE
"1002007004016101","M1",173400,361.25,173400,480,480,100,1,FALSE,FALSE
"1002009003011201","M1",856125.002102715,361.25,663255,1836,2369.89619959229,77.4717475101171,4,TRUE,FALSE
"1002009003011201","M2",538121.6,361.25,507195,1404,1489.60996539792,94.2528603200466,2,FALSE,FALSE
"1002009003013601","M2",675196.015384614,361.25,252875,700,1869.05471386744,37.4520871329423,3,FALSE,FALSE
"1002009003013601","M3",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1002009003018601","M1",90312.5,361.25,90312.5,250,250,100,1,FALSE,FALSE
"1002009003018601","M3",812270.07538512,361.25,578000,1600,2248.49847857473,71.1585982933021,2,TRUE,FALSE
"1002009003024001","M1",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1002009003024001","M2",189385.03769256,361.25,72250,200,524.249239287363,38.1497930777867,2,TRUE,FALSE
"1002009003030701","M1",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1002009003030701","M2",722500,361.25,722500,2000,2000,100,1,FALSE,FALSE
"1002009003034101","M1",66082.3461538461,361.25,54187.5,150,182.926909768432,81.9999639144867,2,FALSE,FALSE
"1002009003034101","M2",611658.097435897,361.25,541875,1500,1693.1712039748,88.5911593865214,2,FALSE,FALSE
"1002009003034103","M1",180625,361.25,180625,500,500,100,1,FALSE,FALSE
"1002009003038901","M1",103969.58974359,361.25,72250,200,287.805092715819,69.491473591637,2,FALSE,FALSE
"1002009003038901","M2",183341.424123238,361.25,108375,300,507.519513143912,59.1110277005117,2,TRUE,FALSE
"1002009003045201","M1",72250,361.25,72250,200,200,100,1,FALSE,FALSE
"1002009003045201","M2",1327814.17948718,361.25,1264375,3500,3675.61018543164,95.2222848296679,2,FALSE,FALSE
"1002011311000801","M1",379312.5,361.25,379312.5,1050,1050,100,1,FALSE,FALSE
"1002011311000801","M3",294985.71,361.25,162562.5,450,816.569439446367,55.108601701418,2,FALSE,FALSE
"1002011311001301","M1",130050,361.25,130050,360,360,100,1,FALSE,FALSE
"1002011311001301","M2",173400,361.25,173400,480,480,100,1,FALSE,FALSE
"1002011311001301","M3",173400,361.25,173400,480,480,100,1,FALSE,FALSE
"1002011311001601","M1",28900,361.25,28900,80,80,100,1,FALSE,FALSE
"1002011311001601","M4",739252.55653884,361.25,563550,1560,2046.37385893105,76.2324046112908,2,TRUE,FALSE
