"y2_hhid","plotnum","zaocode","total_plot","inter_crop","seed_type","seed_sh","output_kg","output_sh"
"0101014002017101","M1","Sorghum","NO","NO",NA,NA,200,30000
"0101014002017101","M1","Bulrush Millet","NO","NO",NA,NA,240,36000
"0101014002017101","M2","Paddy","YES","NO",NA,NA,100,30000
"0101014002028401","M1","Maize","NO","YES",NA,NA,220,38500
"0101014002028401","M1","Sunflower","NO","YES",NA,NA,100,14000
"0101014002029701","M1","Maize","YES","NO",NA,NA,750,157500
"0101014002029701","M2","Maize","YES","NO",NA,NA,200,42000
"0101014002040901","M1","Bulrush Millet","YES","YES",NA,NA,360,63000
"0101014002040901","M1","Pigeon pea","YES","YES",NA,NA,40,40000
"0101014002040901","M1","Bambara nuts","NO","YES",NA,NA,40,32000
"0101014002040901","M2","Maize","NO","YES",NA,NA,108,21000
"0101014002040901","M2","Sunflower","YES","YES",NA,NA,420,87500
"0101014002047101","M1","Sorghum","NO","YES",NA,NA,100,18000
"0101014002047101","M1","Bulrush Millet","NO","YES",NA,NA,200,36000
"0101014002055101","M1","Bulrush Millet","YES","YES",NA,NA,500,50000
"0101014002055101","M1","Pigeon pea","NO","YES",NA,NA,80,60000
"0101014002055101","M2","Pigeon pea","NO","YES",NA,NA,20,15000
"0101014002055101","M2","Sunflower","YES","YES","IMPROVED",6000,420,87500
"0101014002076101","M1","Maize","YES","NO",NA,NA,60,9000
"0101014002076101","M2","Maize","NO","YES",NA,NA,120,18000
"0101014002076101","M2","Sunflower","YES","NO",NA,NA,120,18000
"0101014002076101","M3",NA,NA,NA,NA,NA,NA,NA
"0101014002076201","M1","Maize","NO","NO",NA,NA,100,15000
"0101014002076201","M1","Pigeon pea","YES","YES",NA,NA,840,126000
"0101014002076201","M2","Pigeon pea","YES","NO",NA,NA,160,2700
"0102003003000401","M1","Maize","YES","NO",NA,NA,480,72000
"0102003003000401","M2","Maize","YES","NO",NA,NA,600,90000
"0102003003000401","M3","Sorghum","YES","NO",NA,NA,240,24000
"0102003003002201","M1","Sorghum","YES","NO",NA,NA,260,65000
"0102003003002201","M2","Sorghum","YES","NO",NA,NA,360,90000
"0102003003002201","M3","Sorghum","YES","YES",NA,NA,1800,450000
"0102003003002201","M3","Cowpeas","YES","YES","TRADITIONAL",32000,240,96000
"0102003003002201","M3","Groundnut","YES","YES","TRADITIONAL",11000,240,200000
"0102003003014001","M1","Maize","NO","NO",NA,NA,200,40000
"0102003003014001","M2",NA,NA,NA,NA,NA,NA,NA
"0102003003016101","M1","Maize","YES","YES",NA,NA,300,54000
"0102003003016101","M1","Sorghum","YES","YES",NA,NA,200,36000
"0102003003016101","M2","Maize","NO","YES",NA,NA,300,54000
"0102003003016101","M2","Groundnut","NO","YES",NA,NA,60,36000
"0102003003017401","M1","Maize","YES","YES",NA,NA,2160,480000
"0102003003017401","M1","Pigeon pea","NO","YES",NA,NA,140,84000
"0102003003017401","M2","Maize","YES","NO",NA,NA,1728,384000
"0102003003017401","M3","Maize","YES","NO",NA,NA,2700,675000
"0102003003017401","M4","Beans","YES","NO",NA,NA,160,128000
"0102003003017401","M5","Maize","NO","YES",NA,NA,1296,324000
"0102003003017401","M5","Groundnut","YES","YES",NA,NA,1200,420000
"0102003003020001","M1",NA,NA,NA,NA,NA,NA,NA
"0102003003020001","M2","Maize","YES","NO",NA,NA,2000,280000
"0102003003043001","M1","Maize","NO","YES","IMPROVED",8000,400,120000
"0102003003043001","M1","Casava","NO","YES",NA,NA,NA,NA
"0102003003043001","M2","Maize","NO","YES",NA,NA,600,180000
"0102003003043001","M2","Casava","NO","YES",NA,NA,NA,NA
"0102003003043001","M3","Maize","YES","NO",NA,NA,200,60000
"0102003003043001","M4",NA,NA,NA,NA,NA,NA,NA
"0102003003043001","M5","Maize","YES","YES",NA,NA,300,90000
"0102003003043001","M5","Beans","YES","YES",NA,NA,100,108000
"0102003003043001","M6","Maize","YES","NO",NA,NA,200,60000
"0102003003043001","M7","Beans","YES","NO",NA,NA,200,200000
"0102003003047901","M1","Maize","YES","YES",NA,NA,240,48000
"0102003003047901","M1","Sunflower","YES","YES",NA,NA,60,9000
"0102003003047901","M2","Maize","YES","YES",NA,NA,320,64000
"0102003003047901","M2","Sorghum","YES","YES",NA,NA,88,14000
"0102017003000101","M1","Sorghum","YES","NO",NA,NA,120,18000
"0102017003000101","M2","Sorghum","YES","NO",NA,NA,160,24000
"0102017003000101","M3","Bulrush Millet","YES","NO",NA,NA,180,27000
"0102017003000101","M4","Groundnut","YES","NO",NA,NA,300,30000
"0102017003000101","M5","Sorghum","YES","NO",NA,NA,160,24000
"0102017003000104","M1","Sorghum","YES","YES",NA,NA,400,84000
"0102017003000104","M1","Sunflower","YES","YES",NA,NA,225,90000
"0102017003000104","M1","Groundnut","YES","YES","TRADITIONAL",20000,150,150000
"0102017003001701","M1","Maize","NO","YES",NA,NA,400,96000
"0102017003001701","M1","Sunflower","NO","YES","IMPROVED",2000,60,12000
"0102017003001701","M1","Sesame","NO","YES","TRADITIONAL",3000,100,76000
"0102017003002201","M1","Sorghum","YES","NO","TRADITIONAL",2000,600,150000
"0102017003004801","M1","Sorghum","YES","NO",NA,NA,480,96000
"0102017003004801","M2","Maize","NO","NO",NA,NA,240,48000
"0102017003004801","M2","Sorghum","NO","NO",NA,NA,160,32000
"0102017003004801","M2","Cowpeas","NO","NO",NA,NA,1900,160000
"0102017003004801","M3","Maize","YES","YES",NA,NA,360,72000
"0102017003004801","M3","Groundnut","YES","YES",NA,NA,660,200000
"0102017003010001","M1","Sorghum","YES","YES",NA,NA,800,168000
"0102017003010001","M1","Bulrush Millet","YES","YES",NA,NA,4800,1008000
"0102017003024101","M1","Sorghum","YES","YES",NA,NA,240,36000
"0102017003024101","M1","Cowpeas","NO","YES",NA,NA,80,40000
"0102017003024101","M2","Sorghum","NO","YES",NA,NA,600,90000
"0102017003024101","M2","Cowpeas","NO","YES",NA,NA,40,10000
"0102017003024101","M2","Sunflower","NO","YES",NA,NA,120,36000
"0102017003024601","M1","Sorghum","YES","YES","TRADITIONAL",2000,120,12000
"0102017003024601","M1","Cowpeas","NO","YES","TRADITIONAL",2000,40,20000
"0102017003024601","M2","Sorghum","YES","NO","TRADITIONAL",4000,360,36000
"0103013004016101","M1","Maize","YES","NO",NA,NA,150,37000
"0103013004016101","M2",NA,NA,NA,NA,NA,NA,NA
"0103013004016101","M3",NA,NA,NA,NA,NA,NA,NA
"0103013004016101","M4",NA,NA,NA,NA,NA,NA,NA
"0103013004021901","M1","Groundnut","YES","NO",NA,NA,100,36000
"0103013004021901","M2","Maize","YES","NO",NA,NA,180,30000
"0103013004021901","M3","Sorghum","YES","NO",NA,NA,360,54000
"0103013004021901","M4","Sorghum","YES","NO",NA,NA,100,15000
"0103013004025901","M1","Maize","YES","YES",NA,NA,40,8000
"0103013004025901","M1","Groundnut","YES","YES",NA,NA,NA,NA
"0103013004025901","M2","Bulrush Millet","YES","YES",NA,NA,360,57000
"0103013004025901","M2","Sunflower","YES","YES",NA,NA,240,54000
