"item_name","region","vill_price_region","dis_price_region","vill_obs_region","dis_obs_region","region_price","tot_obs","vill_price_national","dis_price_national","national_price"
"Beans","arusha",1404.54545454545,1200,1,10,1302.27272727273,11,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","arusha",4482.39,4300,1,9,4391.195,10,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","arusha",1523.80952380953,1600,1,5,1561.90476190476,6,1623.22978837828,1910.346215781,1766.78800207964
"Buns","arusha",2000,NA,0,1,1931.0020357946,1,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","arusha",338.597285067873,367.521367521368,2,5,353.059326294621,7,751.241399339098,605.263118753219,678.252259046159
"Canned milk/powder","arusha",NA,17500,1,0,17279.912517116,1,16813.1513647643,17746.6736694678,17279.912517116
"Carrot","arusha",1173.80952380952,1300,1,6,1236.90476190476,7,1533.22761797027,1536.68430335097,1534.95596066062
"Casava fresh","arusha",NA,384.615384615385,1,0,494.854547413127,1,522.07068493773,467.638409888524,494.854547413127
"Charcoal","arusha",452.24358974359,NA,0,5,226.121794871795,5,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","arusha",7375,9500,0,6,8437.5,6,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","arusha",535.714285714286,1250,1,3,855.359162463885,4,901.019683227447,809.698641700324,855.359162463885
"Coconuts","arusha",1750,1454.54545454545,1,3,1387.34912376965,4,1209.29513268954,1565.40311484975,1387.34912376965
"Cocoyams","arusha",NA,909.090909090909,1,0,782.573304730329,1,771.678503492551,793.468105968106,782.573304730329
"Cooking bananas","arusha",286.742424242424,500,2,4,393.371212121212,6,864.120840224063,676.639242948531,770.380041586297
"Cooking oil","arusha",3025,2900,0,10,2962.5,10,2841.72057652274,2845.34202569917,2843.53130111096
"Dagaa","arusha",2966.66666666667,3392.85714285714,1,5,3179.76190476191,6,3471.5298035298,3597.04486614209,3534.28733483595
"Eggs","arusha",244.444444444444,275,0,7,259.722222222222,7,246.462774253925,258.391608391608,252.427191322767
"Fresh fish","arusha",6000,5000,2,2,3754.65614661677,4,3474.82112743641,4034.49116579713,3754.65614661677
"Fresh milk","arusha",640,1000,1,5,820,6,743.730158730159,836.842105263158,790.286131996658
"Goat meat","arusha",11171.7,NA,0,7,5585.85,7,16807.4380165289,7250.82972582973,12029.1338711793
"Groundnuts","arusha",2100,2000,2,2,1982.79984060389,4,1927.83505154639,2037.76462966139,1982.79984060389
"Irish potatoes","arusha",973.496587301587,801.282051282051,1,7,887.389319291819,8,873.139417195124,740.617974122894,806.878695659009
"Kerosene","arusha",1500,1600,0,7,1550,7,1857.12066182405,1633.51428571429,1745.31747376917
"Local brews","arusha",672.39,500,0,3,482.036300943441,3,486.002426448286,478.070175438596,482.036300943441
"Maize (flour)","arusha",670.1,850,1,9,760.05,10,797.993277848912,902.897102897103,850.445190373007
"Maize (grain)","arusha",467.857142857143,300,1,7,383.928571428571,8,507.658465608466,480.53548085901,494.096973233738
"Maize (green, cob)","arusha",500,NA,0,2,820.931044572815,2,999.391464532149,642.470624613482,820.931044572815
"Maize grinding costs","arusha",50,50,0,6,50,6,198.780193236715,53.944936086529,126.362564661622
"Mangoes","arusha",618.145743145743,560.606060606061,1,5,589.375901875902,6,1129.45866691209,752.909725419285,941.184196165687
"Millet (flour)","arusha",1500,NA,0,1,1523.32949308756,1,1548.80952380952,1497.84946236559,1523.32949308756
"Millet (grain)","arusha",NA,1000,2,0,1053.71337160887,2,1073.16513761468,1034.26160560307,1053.71337160887
"Onions","arusha",1146.53881472063,1250,1,10,1198.26940736032,11,1565.73907268406,1539.19023569024,1552.46465418715
"Papaya","arusha",506.37408568443,928.571428571428,2,3,717.472757127929,5,746.510086806016,562.505252741732,654.507669773874
"Peas","arusha",NA,1350,2,0,1100.17489027269,2,1082.38341968912,1117.96636085627,1100.17489027269
"Rice (husked)","arusha",1353.84615384615,1350,0,11,1351.92307692308,11,1208.06349206349,1176.11111111111,1192.0873015873
"Ripe bananas","arusha",859.379509379509,788.46153846154,1,8,823.920523920525,9,982.517161656745,865.614549832844,924.065855744794
"Salt","arusha",618.181818181818,600,0,9,609.090909090909,9,648.594075677409,606.414092664093,627.504084170751
"Sorghum (grain)","arusha",NA,1000,1,0,843.303288123618,1,775.57278208441,911.033794162826,843.303288123618
"Spinach","arusha",577.860235003092,842.872222222223,1,6,710.366228612657,7,680.999157988614,665.154723316131,673.076940652372
"Sugar","arusha",1845.35076923077,1550,0,11,1697.67538461538,11,2229.94722955145,1734.45945945946,1982.20334450546
"Sweet potatoes","arusha",526.315789473684,588.235294117647,1,1,503.346042121608,2,520.811190427831,485.880893815384,503.346042121608
"Tea (dry)","arusha",8454.54545454545,10000,0,9,9227.27272727273,9,9971.64702271332,11140.6130268199,10556.1300247666
"Tomatoes","arusha",1087.20836940837,957.142857142857,1,10,1022.17561327561,11,1066.08215971181,990.790176855593,1028.4361682837
"Yams","arusha",NA,370.37037037037,1,0,861.704807538141,1,988.841713841714,734.567901234568,861.704807538141
"Beans","dar es salaam",1414.54545454545,1400,1,55,1407.27272727273,56,1318.5245684475,1332.80423280423,1325.66440062587
"Beef","dar es salaam",4388.23529411765,4000,1,51,4194.11764705882,52,4094.06338181029,3892.82407407407,3993.44372794218
"Bread","dar es salaam",1290.53578709653,NA,0,53,645.267893548266,53,1623.22978837828,1910.346215781,1766.78800207964
"Buns","dar es salaam",1464.66952334877,NA,0,53,732.334761674385,53,1915.63335670153,1946.37071488768,1931.0020357946
"Cabbage","dar es salaam",653.884674524184,600,1,51,626.942337262092,52,751.241399339098,605.263118753219,678.252259046159
"Canned milk/powder","dar es salaam",17448.5294117647,NA,0,34,8724.26470588235,34,16813.1513647643,17746.6736694678,17279.912517116
"Carrot","dar es salaam",1548.56297832147,666.666666666667,1,53,1107.61482249407,54,1533.22761797027,1536.68430335097,1534.95596066062
"Casava (dry)","dar es salaam",645.439428571429,NA,0,5,322.719714285714,5,413.386329904415,467.279408625563,440.332869264989
"Casava flour","dar es salaam",1025,1000,1,22,1012.5,23,763.570127504554,882.291666666667,822.93089708561
"Casava fresh","dar es salaam",479.823880471205,250,1,33,364.911940235603,34,522.07068493773,467.638409888524,494.854547413127
"Charcoal","dar es salaam",484.993483283296,320,1,50,402.496741641648,51,1173.65252524216,400.872061648404,787.262293445283
"Chicken (live)","dar es salaam",5334.68094681408,2500,1,28,3917.34047340704,29,6029.07359696701,5945.44389184245,5987.25874440473
"Citrus fruits","dar es salaam",925.317717099456,400,1,40,662.658858549728,41,901.019683227447,809.698641700324,855.359162463885
