"region","item_name","vill_price","dis_price"
"dodoma","Cooking oil",2250,2400
"dodoma","Cooking oil",3000,2800
"dodoma","Cooking oil",3000,2800
"dodoma","Cooking oil",2800,3000
"dodoma","Cooking oil",3000,NA
"dodoma","Cooking oil",2500,NA
"dodoma","Cooking oil",3428.57142857143,NA
"dodoma","Cooking oil",2500,2500
"dodoma","Cooking oil",200,3000
"dodoma","Cooking oil",2600,NA
"dodoma","Salt",600,600
"dodoma","Salt",400,600
"dodoma","Salt",600,600
"dodoma","Salt",600,600
"dodoma","Salt",600,NA
"dodoma","Salt",600,NA
"dodoma","Salt",600,NA
"dodoma","Salt",750,600
"dodoma","Salt",600,600
"dodoma","Salt",600,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (paddy)",NA,800
"dodoma","Rice (paddy)",NA,NA
"dodoma","Rice (husked)",1200,1100
"dodoma","Rice (husked)",1500,1400
"dodoma","Rice (husked)",1400,1100
"dodoma","Rice (husked)",1400,1200
"dodoma","Rice (husked)",1500,NA
"dodoma","Rice (husked)",1400,NA
"dodoma","Rice (husked)",1000,NA
"dodoma","Rice (husked)",1200,1000
"dodoma","Rice (husked)",1400,1200
"dodoma","Rice (husked)",1400,NA
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,750
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (green, cob)",NA,571.428571428571
"dodoma","Maize (green, cob)",NA,500
"dodoma","Maize (green, cob)",NA,NA
"dodoma","Maize (grain)",222.222222222222,300
"dodoma","Maize (grain)",250,400
"dodoma","Maize (grain)",300,350
"dodoma","Maize (grain)",NA,300
"dodoma","Maize (grain)",300,NA
"dodoma","Maize (grain)",300,NA
"dodoma","Maize (grain)",400,NA
"dodoma","Maize (grain)",250,300
"dodoma","Maize (grain)",350,420
"dodoma","Maize (grain)",350,NA
"dodoma","Maize (flour)",NA,700
"dodoma","Maize (flour)",NA,800
"dodoma","Maize (flour)",NA,700
"dodoma","Maize (flour)",NA,800
"dodoma","Maize (flour)",1000,NA
"dodoma","Maize (flour)",700,NA
"dodoma","Maize (flour)",1000,NA
"dodoma","Maize (flour)",NA,600
"dodoma","Maize (flour)",900,800
"dodoma","Maize (flour)",700,NA
"dodoma","Sorghum (grain)",NA,600
"dodoma","Sorghum (grain)",NA,1000
"dodoma","Sorghum (grain)",300,400
"dodoma","Sorghum (grain)",300,350
"dodoma","Sorghum (grain)",NA,NA
"dodoma","Sorghum (grain)",350,NA
"dodoma","Sorghum (grain)",NA,NA
"dodoma","Sorghum (grain)",NA,1000
"dodoma","Sorghum (grain)",350,800
"dodoma","Sorghum (grain)",350,NA
"dodoma","Millet (grain)",NA,700
"dodoma","Millet (grain)",NA,1000
"dodoma","Millet (grain)",NA,1000
"dodoma","Millet (grain)",NA,800
"dodoma","Millet (grain)",NA,NA
"dodoma","Millet (grain)",NA,NA
"dodoma","Millet (grain)",NA,NA
"dodoma","Millet (grain)",NA,800
"dodoma","Millet (grain)",NA,800
"dodoma","Millet (grain)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Sorghum (flour)",NA,1000
"dodoma","Sorghum (flour)",NA,1000
"dodoma","Sorghum (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,NA
"dodoma","Millet (flour)",NA,1200
"dodoma","Millet (flour)",NA,1000
"dodoma","Millet (flour)",NA,NA
"dodoma","Bread",NA,2000
"dodoma","Bread",NA,2000
"dodoma","Bread",NA,1500
"dodoma","Bread",NA,2000
"dodoma","Bread",NA,NA
"dodoma","Bread",NA,NA
"dodoma","Bread",NA,NA
"dodoma","Bread",NA,2000
"dodoma","Bread",NA,2400
"dodoma","Bread",NA,NA
"dodoma","Buns",1000,1000
"dodoma","Buns",909.090909090909,1000
"dodoma","Buns",1250,1250
"dodoma","Buns",1000,1000
"dodoma","Buns",1250,NA
"dodoma","Buns",1250,NA
"dodoma","Buns",909.090909090909,NA
"dodoma","Buns",833.333333333333,909.090909090909
"dodoma","Buns",1250,1111.11111111111
"dodoma","Buns",1000,NA
"dodoma","Tea (dry)",10000,10000
"dodoma","Tea (dry)",16666.6666666667,10000
"dodoma","Tea (dry)",20000,9000
"dodoma","Tea (dry)",10000,8000
"dodoma","Tea (dry)",16666.6666666667,NA
"dodoma","Tea (dry)",1200,NA
"dodoma","Tea (dry)",20000,NA
"dodoma","Tea (dry)",16666.6666666667,10000
"dodoma","Tea (dry)",16000,10000
"dodoma","Tea (dry)",10000,NA
"dodoma","Local brews",200,NA
"dodoma","Local brews",200,NA
"dodoma","Local brews",200,300
"dodoma","Local brews",200,300
"dodoma","Local brews",300,NA
"dodoma","Local brews",400,NA
"dodoma","Local brews",400,NA
"dodoma","Local brews",300,NA
"dodoma","Local brews",250,500
"dodoma","Local brews",300,NA
"dodoma","Casava fresh",250,500
"dodoma","Casava fresh",4000,NA
"dodoma","Casava fresh",NA,NA
"dodoma","Casava fresh",NA,500
"dodoma","Casava fresh",NA,NA
"dodoma","Casava fresh",NA,NA
"dodoma","Casava fresh",NA,NA
"dodoma","Casava fresh",NA,666.666666666667
"dodoma","Casava fresh",416.666666666667,1111.11111111111
"dodoma","Casava fresh",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava (dry)",NA,500
"dodoma","Casava (dry)",150,NA
"dodoma","Casava (dry)",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,NA
"dodoma","Casava flour",NA,1000
"dodoma","Casava flour",NA,1500
"dodoma","Casava flour",NA,NA
"dodoma","Sweet potatoes",250,555.555555555556
"dodoma","Sweet potatoes",227.272727272727,277.777777777778
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,NA
"dodoma","Sweet potatoes",NA,769.230769230769
"dodoma","Sweet potatoes",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Cocoyams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Yams",NA,NA
"dodoma","Irish potatoes",1000,400
"dodoma","Irish potatoes",666.666666666667,700
"dodoma","Irish potatoes",NA,600
"dodoma","Irish potatoes",NA,666.666666666667
"dodoma","Irish potatoes",1000,NA
"dodoma","Irish potatoes",NA,NA
"dodoma","Irish potatoes",NA,NA
"dodoma","Irish potatoes",NA,500
"dodoma","Irish potatoes",NA,600
"dodoma","Irish potatoes",NA,NA
"dodoma","Cooking bananas",NA,250
"dodoma","Cooking bananas",NA,666.666666666667
"dodoma","Cooking bananas",NA,428.571428571429
"dodoma","Cooking bananas",NA,428.571428571429
"dodoma","Cooking bananas",1000,NA
"dodoma","Cooking bananas",NA,NA
"dodoma","Cooking bananas",NA,NA
"dodoma","Cooking bananas",NA,250
"dodoma","Cooking bananas",NA,1000
"dodoma","Cooking bananas",NA,NA
"dodoma","Sugar",1600,1500
"dodoma","Sugar",2000,1800
"dodoma","Sugar",1800,1500
"dodoma","Sugar",1600,1600
"dodoma","Sugar",1700,NA
"dodoma","Sugar",1600,NA
"dodoma","Sugar",2000,NA
"dodoma","Sugar",1600,1600
"dodoma","Sugar",2000,1800
"dodoma","Sugar",1500,NA
"dodoma","Beans",1200,1200
"dodoma","Beans",1000,1200
"dodoma","Beans",1200,1200
"dodoma","Beans",1400,1200
"dodoma","Beans",1400,NA
"dodoma","Beans",1500,NA
"dodoma","Beans",1500,NA
"dodoma","Beans",1200,1000
"dodoma","Beans",1400,1200
"dodoma","Beans",1300,NA
"dodoma","Peas",NA,500
"dodoma","Peas",500,1000
"dodoma","Peas",1000,800
"dodoma","Peas",NA,800
"dodoma","Peas",1000,NA
"dodoma","Peas",NA,NA
"dodoma","Peas",NA,NA
"dodoma","Peas",NA,800
"dodoma","Peas",1000,800
"dodoma","Peas",NA,NA
"dodoma","Groundnuts",NA,2000
"dodoma","Groundnuts",1400,2000
"dodoma","Groundnuts",2000,2000
"dodoma","Groundnuts",1900,2400
"dodoma","Groundnuts",2500,NA
"dodoma","Groundnuts",1700,NA
"dodoma","Groundnuts",NA,NA
"dodoma","Groundnuts",NA,1800
"dodoma","Groundnuts",1000,1700
"dodoma","Groundnuts",NA,NA
"dodoma","Coconuts",NA,1333.33333333333
"dodoma","Coconuts",NA,1333.33333333333
"dodoma","Coconuts",NA,1142.85714285714
"dodoma","Coconuts",NA,1333.33333333333
"dodoma","Coconuts",1250,NA
"dodoma","Coconuts",NA,NA
"dodoma","Coconuts",NA,NA
"dodoma","Coconuts",NA,1000
"dodoma","Coconuts",NA,888.888888888889
"dodoma","Coconuts",NA,NA
"dodoma","Tomatoes",1000,666.666666666667
"dodoma","Tomatoes",666.666666666667,500
"dodoma","Tomatoes",NA,1000
"dodoma","Tomatoes",1000,1000
"dodoma","Tomatoes",333.333333333333,NA
"dodoma","Tomatoes",1000,NA
"dodoma","Tomatoes",666.666666666667,NA
"dodoma","Tomatoes",NA,666.666666666667
"dodoma","Tomatoes",200,833.333333333333
"dodoma","Tomatoes",600,NA
"dodoma","Onions",1000,1000
"dodoma","Onions",250,500
"dodoma","Onions",NA,666.666666666667
"dodoma","Onions",1000,666.666666666667
"dodoma","Onions",1000,NA
"dodoma","Onions",1000,NA
"dodoma","Onions",500,NA
"dodoma","Onions",500,666.666666666667
"dodoma","Onions",1000,1500
"dodoma","Onions",NA,NA
"dodoma","Carrot",NA,500
"dodoma","Carrot",NA,833.333333333333
"dodoma","Carrot",NA,1000
"dodoma","Carrot",NA,1000
"dodoma","Carrot",NA,NA
"dodoma","Carrot",NA,NA
"dodoma","Carrot",NA,NA
"dodoma","Carrot",NA,1000
"dodoma","Carrot",NA,1000
"dodoma","Carrot",NA,NA
"dodoma","Cabbage",NA,500
"dodoma","Cabbage",NA,227.272727272727
"dodoma","Cabbage",NA,357.142857142857
"dodoma","Cabbage",NA,500
"dodoma","Cabbage",NA,NA
"dodoma","Cabbage",NA,NA
"dodoma","Cabbage",909.090909090909,NA
"dodoma","Cabbage",NA,466.666666666667
"dodoma","Cabbage",NA,384.615384615385
"dodoma","Cabbage",NA,NA
"dodoma","Spinach",1000,500
"dodoma","Spinach",NA,400
"dodoma","Spinach",NA,500
"dodoma","Spinach",1000,1000
"dodoma","Spinach",1000,NA
"dodoma","Spinach",NA,NA
"dodoma","Spinach",2000,NA
"dodoma","Spinach",NA,1000
"dodoma","Spinach",1000,833.333333333333
"dodoma","Spinach",1000,NA
"dodoma","Ripe bananas",NA,666.666666666667
"dodoma","Ripe bananas",NA,500
"dodoma","Ripe bananas",NA,750
"dodoma","Ripe bananas",NA,666.666666666667
"dodoma","Ripe bananas",1500,NA
"dodoma","Ripe bananas",NA,NA
"dodoma","Ripe bananas",NA,NA
"dodoma","Ripe bananas",NA,666.666666666667
"dodoma","Ripe bananas",NA,1000
"dodoma","Ripe bananas",NA,NA
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",454.545454545455,333.333333333333
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",NA,NA
"dodoma","Citrus fruits",NA,555.555555555556
"dodoma","Citrus fruits",NA,714.285714285714
"dodoma","Citrus fruits",NA,NA
"dodoma","Mangoes",NA,600
"dodoma","Mangoes",NA,833.333333333333
"dodoma","Mangoes",NA,666.666666666667
"dodoma","Mangoes",666.666666666667,666.666666666667
"dodoma","Mangoes",NA,NA
"dodoma","Mangoes",NA,NA
