"y3_hhid","y2_hhid","sex","age","hh_size","own_sh","rent_sh"
"0001-001","0101014002017101","MALE",72,4,10000,NA
"0002-001","0101014002028401","MALE",40,4,NA,0
"0003-001","0101014002029701","MALE",53,8,27000,120000
"0003-010","                ","MALE",28,4,NA,NA
"0005-001","0101014002040901","MALE",34,5,8000,140000
"0006-001","0101014002047101","FEMALE",54,5,5000,NA
"0007-001","0101014002055101","MALE",34,5,18000,0
"0008-001","0101014002076101","MALE",71,8,22500,NA
"0009-001","0101014002076201","MALE",59,5,45000,NA
"0010-001","0102003003000401","MALE",46,2,22500,NA
"0011-001","0102003003002201","MALE",50,10,75000,NA
"0011-004","                ","MALE",21,3,21000,NA
"0012-001","0102003003014001","MALE",68,1,3000,NA
"0013-001","0102003003016101","MALE",73,4,14000,NA
"0014-001","0102003003017401","MALE",39,7,19088000,NA
"0014-007","                ","MALE",49,4,27000,NA
"0015-001","0102003003017407","MALE",22,3,4000,NA
"0016-001","0102003003020001","MALE",35,6,196000,NA
"0017-001","0102003003043001","MALE",35,9,90000,NA
"0018-001","0102003003047901","MALE",33,6,20000,NA
"0019-001","0102017003000101","MALE",53,6,167500,120000
"0019-003","0102017003000101","MALE",23,4,32000,450000
"0020-001","0102017003000104","MALE",29,3,20000,NA
"0021-001","0102017003001701","FEMALE",52,5,36000,140000
"0022-001","0102017003002201","FEMALE",40,7,5000,NA
"0023-001","0102017003004801","MALE",38,12,3645000,0
"0024-001","0102017003010001","MALE",47,6,45000,NA
"0025-001","0102017003020901","MALE",30,5,NA,NA
"0026-001","0102017003024101","MALE",33,7,1290000,NA
"0027-001","0102017003024601","MALE",39,4,20000,NA
"0028-001","0103013004016101","MALE",54,8,120000,14000
"0029-001","0103013004021901","FEMALE",47,6,80000,224000
"0030-001","0103013004025901","MALE",44,4,30000,10000
"0031-001","0103013004034601","FEMALE",36,5,12000,0
"0032-001","0103013004046801","FEMALE",45,7,126000,NA
"0033-001","0103013004068501","MALE",71,2,45000,770000
"0034-001","0103013004073901","MALE",46,7,3521000,NA
"0034-003","                ","MALE",28,2,NA,NA
"0035-001","0103013004074501","MALE",30,5,12000,NA
"0036-001","0103013301006801","MALE",57,10,20000,NA
"0037-001","0103013301009201","FEMALE",69,4,20000,NA
"0038-001","                ","MALE",43,9,1029000,85000
"0038-002","                ","MALE",31,6,920000,NA
"0039-001","0103013301018801","MALE",64,5,90642500,NA
"0039-004","                ","MALE",28,3,18000,0
"0040-001","0103013301018803","FEMALE",29,2,5000,NA
"0041-002","0103013301030001","FEMALE",47,5,5000,320000
"0041-006","0103013301030001","MALE",29,3,5000,NA
"0042-001","0103013301032201","MALE",44,5,30000,150000
"0043-001","0103013301041101","FEMALE",33,4,3500,NA
"0043-002","                ","MALE",60,7,NA,NA
"0044-001","0103013301041102","MALE",40,4,20000,125000
"0045-001","0103013301065201","MALE",79,2,8000,NA
"0046-001","0104017304000401","MALE",61,2,4800,NA
"0046-002","                ","MALE",32,6,8000,NA
"0047-001","0104017304001701","MALE",67,5,14000,40000
"0048-001","0104017304002201","FEMALE",53,5,27000,NA
"0048-002","                ","MALE",23,3,8000,NA
"0049-001","0104017304003401","MALE",42,6,5000,0
"0051-001","0104017304003407","FEMALE",55,2,20000,NA
"0051-002","                ","MALE",63,3,96000,NA
"0051-003","                ","MALE",25,2,8000,NA
"0052-001","0104017304004102","MALE",25,4,12000,NA
"0053-001","0104017304008601","MALE",81,4,50000,NA
"0054-001","0104017304009201","MALE",40,6,100000,1000
"0055-001","0104017304009401","FEMALE",67,3,18000,NA
"0056-001","0104017304009402","MALE",45,14,150000,7000
"0057-001","0104031001003001","FEMALE",71,4,12000,NA
"0058-001","0104031001010201","MALE",69,5,16000,NA
"0059-001","0104031001017402","FEMALE",82,7,2156000,NA
"0059-002","                ","MALE",43,2,12000,90000
"0060-001","0104031001017403","FEMALE",47,3,NA,0
"0061-001","0104031001018001","MALE",35,4,24000,160000
"0062-001","0104031001046201","MALE",35,6,13500,NA
"0063-001","0104031001048201","MALE",31,3,NA,NA
"0064-001","0104031001074501","FEMALE",64,3,6000,NA
"0065-001","0104031001074502","FEMALE",100,3,6000,NA
"0066-001","0104031001112801","MALE",72,2,16000,NA
"0067-001","0104031001112804","MALE",25,3,6000,NA
"0068-001","0104038003034701","FEMALE",37,4,22500,NA
"0069-001","0104038003039601","MALE",69,4,12000,NA
"0070-001","0104038003046001","MALE",40,7,2178000,15000
"0071-001","0104038003069301","MALE",43,7,3500,NA
"0072-001","0104038003076801","MALE",58,3,2101000,NA
"0072-003","0104038003076801","MALE",29,2,NA,NA
"0073-001","0104038003076803","FEMALE",92,1,3000,340000
"0073-002","                ","FEMALE",37,5,19000,NA
"0074-001","0104038003085401","MALE",51,7,30000,0
"0075-001","0104038003105701","MALE",54,5,48000,160000
"0075-003","                ","MALE",108,7,50000,NA
"0076-001","0104038003110801","FEMALE",44,4,12000,NA
"0076-003","                ","MALE",25,3,12000,0
"0077-001","0105009003011401","FEMALE",50,11,400000,155000
