"hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","soil","soilq","eroscont","erosion","irrigation","slope","ownership","land.title","cultivate","pest","pest.kg","pest.unit","pest.type","pest.price","org.fert","org.fert.kg","org.fert.price","fert.type","fert","fert.kg","fert.price","N_share","P_share","K_share","nitrogen.kg","phosphorous.kg","potassium.kg","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","hh.size","own.sh","rent.sh","plots","plot.missing","region","year","voucher"
1010140020171,"M1",3,144,0.80937128448,NA,NA,"Loam","Average","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"YES",70,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",68,5,44000,0,1,"NO","Dodoma",2008,NA
1010140020284,"M1",0,72,0.40468564224,0.493799999999999,3.8,"Loam","Average","YES","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,283988.132636296,380.555555555555,164400,432,746.246187949391,57.8897429529378,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",25,3,9000,0,1,"NO","Dodoma",2008,NA
1010140020297,"M1",0,98,0.40468564224,0.2824,0.7,"Sandy","Average","YES","YES","NO","Slightly sloped","Used free of charge",NA,"YES","NO",0,NA,NA,0,"YES",200,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,335649.999999999,380.555555555555,335649.999999999,882,882,100,1,FALSE,FALSE,"YES","NO","TRADITIONAL","Male",50,10,75000,85000,2,"NO","Dodoma",2008,NA
1010140020297,"M2",18,63,1.0117141056,0.873599999999999,1.2,"Loam","Good","YES","NO","NO","Flat bottom","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",50,10,75000,85000,2,"NO","Dodoma",2008,NA
1010140020409,"M1",6,72,0.80937128448,NA,NA,"Loam","Average","NO","YES","NO","Slightly sloped","Used free of charge",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",30,4,12000,0,1,"NO","Dodoma",2008,NA
1010140020471,"M1",3,126,0.60702846336,NA,NA,"Sandy","Average","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",50,5,9000,0,2,"NO","Dodoma",2008,NA
1010140020471,"M2",0,384,0.80937128448,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,112820.094740211,380.555555555555,27400,72,296.461562820994,24.2864536349605,2,FALSE,FALSE,"NO","NO","TRADITIONAL","Female",50,5,9000,0,2,"NO","Dodoma",2008,NA
1010140020551,"M1",0,35,0.80937128448,NA,NA,"Loam","Average","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"YES",600,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",30,4,5000,0,2,"NO","Dodoma",2008,NA
1010140020551,"M2",0,52,0.80937128448,NA,NA,"Loam","Average","NO","NO","NO","Very steep","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",30,4,5000,0,2,"NO","Dodoma",2008,NA
1010140020761,"M1",0,28,0.40468564224,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",67,1,10000,144000,3,"YES","Dodoma",2008,NA
1010140020761,"M2",0,64,1.61874256896,NA,NA,"Sandy","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,372464.397908888,380.555555555555,13700,36,978.738563848174,3.67820389731619,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",67,1,10000,144000,3,"YES","Dodoma",2008,NA
1010140020761,"M3",0,0,1.21405692672,NA,NA,"Loam","Average","YES","YES","NO","Very steep","Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",67,1,10000,144000,3,"YES","Dodoma",2008,NA
1010140020762,"M1",0,144,1.21405692672,NA,NA,"Clay","Average","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",55,5,22500,0,2,"NO","Dodoma",2008,NA
1010140020762,"M2",0,39,0.10117141056,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"YES",60,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",55,5,22500,0,2,"NO","Dodoma",2008,NA
1020030030004,"M1",16,49,0.60702846336,NA,NA,"Loam","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,509399.999999999,380.555555555555,410999.999999999,1080,1338.56934306569,80.6831566548881,2,TRUE,FALSE,"YES","YES","TRADITIONAL","Male",40,2,18000,45000,2,"NO","Dodoma",2008,NA
1020030030004,"M2",10,78,0.80937128448,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"YES",120,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,667260.284220634,380.555555555555,410999.999999999,1080,1753.38468846298,61.5951540529722,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",40,2,18000,45000,2,"NO","Dodoma",2008,NA
